Order ID,Order Date,Customer ID,Customer Name,Email,City,State,Country,Product Title,Product Category,SKU,Quantity,Unit Price,Discount Applied,Total Price,Payment Method,Is Repeat Customer
1024,2024-11-11,C007,Scott Peck,angelaherman@yahoo.com,Kruegerhaven,NH,US,Minimalist Sweater,Sweater,QWA-S016,3,63.54,13.43,177.19,Shop Pay,No
1025,2024-07-03,C026,Richard Green,joshuamoss@yahoo.com,South Ronald,RI,US,Minimalist Sweater,Sweater,QWA-S004,3,39.22,0.0,117.66,PayPal,No
1026,2024-01-21,C010,Sarah Mccormick,johnsongregory@marquez-fleming.com,Samanthaland,SD,US,Streetwear Track Pants,Pants,QWA-P017,2,66.23,0.0,132.46,PayPal,No
1027,2024-08-23,C003,Ebony Boone,stuartchristopher@gmail.com,South Heidiland,HI,US,Relaxed Cargo Pants,Pants,QWA-P004,3,35.21,0.0,105.63,PayPal,Yes
1028,2024-04-16,C004,Michael Grant,cfranklin@hotmail.com,Forbesstad,IA,US,Relaxed Cargo Pants,Pants,QWA-P006,1,52.29,0.0,52.29,Shop Pay,No
1029,2024-03-14,C009,Jamie Alvarado,wrosario@gmail.com,Kristinaview,MO,US,Classic Logo Hoodie,Hoodie,QWA-H017,2,41.39,0.0,82.78,Credit Card,Yes
1030,2024-05-07,C013,James Kim,david63@hall.com,Michaelhaven,NH,US,Minimalist Sweater,Sweater,QWA-S003,2,32.26,0.0,64.52,PayPal,No
1031,2024-06-02,C011,Lisa Thomas,gmoody@kennedy.net,Besthaven,AK,US,Minimal Logo Tee,Shirt,QWA-S006,3,43.38,0.0,130.14,Credit Card,No
1032,2024-08-01,C016,Todd Lucas,jason88@gmail.com,New Scottfort,MA,US,Streetwear Track Pants,Pants,QWA-P009,3,43.25,0.0,129.75,Shop Pay,No
1033,2024-06-10,C013,Andrew Willis,hansendavid@brown.com,Michaelfort,RI,US,Classic Logo Hoodie,Hoodie,QWA-H012,1,57.35,0.0,57.35,PayPal,No
1034,2024-03-06,C022,Joseph Stone,drodriguez@yahoo.com,Wagnerborough,GA,US,Minimalist Sweater,Sweater,QWA-S004,2,60.39,0.0,120.78,Credit Card,No
1035,2024-08-26,C011,Sierra Young,sharon97@yahoo.com,East Cherylside,DC,US,Relaxed Cargo Pants,Pants,QWA-P018,1,31.14,0.0,31.14,Credit Card,No
1036,2024-11-03,C014,Kerry Foster,makayla35@hotmail.com,Sonyashire,MD,US,Oversized Street Tee,Shirt,QWA-S008,2,36.11,12.48,59.74,Credit Card,No
1037,2024-02-10,C022,Cameron Taylor,psuarez@king.com,Mezaland,WY,US,Streetwear Track Pants,Pants,QWA-P001,3,41.81,0.0,125.43,Credit Card,No
1038,2024-11-08,C029,Kenneth Adkins,joseph79@aguilar-vargas.com,Rileychester,NJ,US,Oversized Hoodie,Hoodie,QWA-H003,2,62.3,13.59,111.01,PayPal,No
1039,2024-06-23,C002,Stephanie Myers,patriciareeves@gmail.com,Lake Nicole,WV,US,Slim Fit Joggers,Pants,QWA-P002,2,61.86,0.0,123.72,Shop Pay,No
1040,2024-07-16,C009,Patricia Travis,smithkatelyn@hotmail.com,South Mariaside,ME,US,Oversized Street Tee,Shirt,QWA-S019,2,33.58,0.0,67.16,Credit Card,Yes
1041,2024-11-13,C005,Kelsey Coffey,jonathanstephenson@lee.info,West Jonathan,OK,US,Minimal Logo Tee,Shirt,QWA-S014,1,59.02,9.36,49.66,PayPal,No
1042,2024-01-24,C010,Edward Smith,pgutierrez@jackson.info,West Bradleystad,WI,US,Oversized Hoodie,Hoodie,QWA-H015,3,60.76,9.08,173.2,Shop Pay,No
1043,2024-01-20,C005,William Johnston,scott55@gmail.com,Lake Mirandaborough,MA,US,Streetwear Track Pants,Pants,QWA-P003,3,46.15,0.0,138.45,PayPal,No
1044,2024-03-02,C014,Jerry Baker,solomonmichelle@brown.org,Juliamouth,MD,US,Oversized Street Tee,Shirt,QWA-S004,3,42.91,0.0,128.73,PayPal,No
1045,2024-03-16,C027,Gary Delgado,anthonyparker@hotmail.com,Olsonbury,HI,US,Relaxed Cargo Pants,Pants,QWA-P012,2,59.21,0.0,118.42,Credit Card,Yes
1046,2024-11-05,C020,Andrea Saunders,brockrobert@yahoo.com,Port Michael,ND,US,Zipper Hoodie,Hoodie,QWA-H013,2,53.87,6.6,101.14,Shop Pay,No
1047,2024-01-13,C005,Joseph Perez,jeffrey46@little.com,Port Jayburgh,IA,US,Oversized Street Tee,Shirt,QWA-S011,3,69.92,0.0,209.76,Credit Card,No
1048,2024-12-27,C027,Eric Powers,dixontonya@yahoo.com,Port Maureenburgh,HI,US,Oversized Hoodie,Hoodie,QWA-H013,1,64.46,7.6,56.86,PayPal,Yes
1049,2024-11-17,C009,Glen Buchanan,delliott@middleton.com,New Glenn,AZ,US,Slim Fit Joggers,Pants,QWA-P005,3,52.06,11.31,144.87,PayPal,Yes
1050,2024-11-04,C020,Steven Frazier,michael09@taylor.com,Harveymouth,NH,US,Slim Fit Joggers,Pants,QWA-P017,2,49.53,7.15,91.91,Credit Card,No
1051,2024-04-12,C013,Ashley Arnold,markgrant@proctor-lopez.com,Lake Brendanville,ME,US,Relaxed Cargo Pants,Pants,QWA-P012,1,38.43,0.0,38.43,PayPal,No
1052,2024-02-15,C020,Emily Miller,krystal26@evans.net,Laneton,MN,US,Oversized Street Tee,Shirt,QWA-S018,3,61.98,0.0,185.94,Credit Card,No
1053,2024-01-12,C016,Joseph Edwards,margaret11@gmail.com,Lake Stephaniestad,ID,US,Oversized Hoodie,Hoodie,QWA-H014,3,37.73,12.93,100.26,Shop Pay,No
1054,2024-11-07,C030,Edward Anderson,justin86@yahoo.com,New Malik,LA,US,Minimal Logo Tee,Shirt,QWA-S013,1,67.61,14.38,53.23,PayPal,Yes
1055,2024-03-06,C009,Todd Benjamin,schmidtjulie@norton.com,Ericachester,OK,US,Knitted Crewneck,Sweater,QWA-S001,3,39.27,0.0,117.81,Shop Pay,Yes
1056,2024-01-07,C020,Jennifer Gonzalez,christian27@nguyen-romero.info,Brownton,TX,US,Oversized Hoodie,Hoodie,QWA-H003,1,35.84,9.94,25.9,Credit Card,No
1057,2024-03-03,C025,Timothy Buck,donaldmelton@yahoo.com,Lake Jennifer,WV,US,Oversized Street Tee,Shirt,QWA-S019,3,65.28,0.0,195.84,Credit Card,No
1058,2024-08-27,C002,Charles Rivera,vmclean@bennett.net,East Jacqueline,MD,US,Zipper Hoodie,Hoodie,QWA-H008,2,38.7,0.0,77.4,Credit Card,No
1059,2024-09-20,C030,Jackson Miller,harrisonkristen@yahoo.com,Kevinberg,OR,US,Relaxed Cargo Pants,Pants,QWA-P001,3,50.56,0.0,151.68,Shop Pay,Yes
1060,2024-02-28,C025,Benjamin Davis,michaelpalmer@lopez.org,Gloverburgh,SD,US,Zipper Hoodie,Hoodie,QWA-H011,2,42.18,0.0,84.36,PayPal,No
1061,2024-11-26,C026,Heather Bennett,david61@hotmail.com,East Jodi,WY,US,Minimalist Sweater,Sweater,QWA-S011,2,47.68,11.46,83.9,Credit Card,No
1062,2024-09-25,C010,Bernard Kirk,smithnancy@johnson-matthews.org,Danielside,NJ,US,Classic Logo Hoodie,Hoodie,QWA-H001,2,66.67,0.0,133.34,PayPal,No
1063,2024-12-23,C029,Misty Kennedy,frankrusso@young-mason.com,East Timothyland,IL,US,Minimal Logo Tee,Shirt,QWA-S002,2,60.83,0.0,121.66,Shop Pay,No
1064,2024-06-21,C026,Edward Sawyer,christie59@perez.com,Nathanielfurt,MD,US,Streetwear Track Pants,Pants,QWA-P012,2,54.63,0.0,109.26,Shop Pay,No
1065,2024-12-21,C027,Ashley Lee,ywhite@hotmail.com,South Thomasbury,SC,US,Zipper Hoodie,Hoodie,QWA-H016,2,33.58,10.47,56.69,PayPal,Yes
1066,2024-12-27,C004,Ms. Mary Deleon,yali@higgins-johnson.net,Diazport,ND,US,Essential Tee,Shirt,QWA-S012,1,41.69,0.0,41.69,Credit Card,No
1067,2024-12-14,C021,David Reynolds,samantha01@garner.com,Jessicachester,VA,US,Oversized Hoodie,Hoodie,QWA-H018,2,61.54,10.78,112.3,PayPal,Yes
1068,2024-11-14,C005,Gregory Mills,hbailey@hotmail.com,Lake Michaelmouth,DE,US,Oversized Hoodie,Hoodie,QWA-H016,3,31.91,14.13,81.6,Shop Pay,No
1069,2024-11-12,C020,Corey Diaz,ashleycollins@garcia.com,Kathleenport,MN,US,Essential Tee,Shirt,QWA-S011,2,46.8,7.53,86.07,PayPal,No
1070,2024-04-09,C023,Angela Wells,webbnicole@herrera.com,Johnville,ID,US,Classic Logo Hoodie,Hoodie,QWA-H008,3,56.79,0.0,170.37,PayPal,No
1071,2024-12-07,C007,Sarah Williams DDS,qrodriguez@lee.net,West Scottview,TX,US,Oversized Hoodie,Hoodie,QWA-H016,1,64.31,7.71,56.6,Credit Card,No
1072,2024-08-28,C017,Victoria Reyes,james44@johnson-knight.com,South Rodney,NJ,US,Slim Fit Joggers,Pants,QWA-P008,3,57.59,0.0,172.77,Shop Pay,No
1073,2024-08-18,C024,Michael Wright,jonathanhess@garcia-thomas.com,Elizabethstad,WV,US,Oversized Hoodie,Hoodie,QWA-H005,2,57.26,0.0,114.52,PayPal,Yes
1074,2024-12-09,C027,Scott Simon,cooperjessica@yahoo.com,Lake Catherine,CO,US,Zipper Hoodie,Hoodie,QWA-H002,1,56.92,8.12,48.8,Shop Pay,Yes
1075,2024-12-09,C002,James Garcia,brittany75@yahoo.com,Shermanmouth,OK,US,Knitted Crewneck,Sweater,QWA-S014,2,50.56,0.0,101.12,Credit Card,No
1076,2024-11-18,C027,Troy Lopez,ericmurphy@bean.net,Kathrynside,NE,US,Minimalist Sweater,Sweater,QWA-S016,2,68.67,8.09,129.25,Credit Card,Yes
1077,2024-12-16,C018,Stacey Thompson,lunaaaron@yahoo.com,New Nicholas,MD,US,Knitted Crewneck,Sweater,QWA-S013,1,46.55,0.0,46.55,Shop Pay,Yes
1078,2024-11-07,C007,Tina Jones,timothyhensley@collins.com,Ronaldport,SD,US,Oversized Street Tee,Shirt,QWA-S010,3,66.56,10.76,188.92,Shop Pay,No
1079,2024-07-14,C013,Scott Green,lboone@clark.com,Lindabury,HI,US,Oversized Hoodie,Hoodie,QWA-H006,2,37.44,0.0,74.88,PayPal,No
1080,2024-08-25,C024,Michael Owens,clarklori@petersen.com,New Lisaberg,OK,US,Oversized Hoodie,Hoodie,QWA-H005,3,40.56,0.0,121.68,PayPal,Yes
1081,2024-06-15,C025,Jessica Flowers,isabel22@holden-carter.biz,East Eric,AK,US,Oversized Hoodie,Hoodie,QWA-H002,1,55.46,0.0,55.46,Shop Pay,No
1082,2024-05-17,C021,Nicole Boyd,kevincampbell@reynolds.org,Lake Sarahborough,MI,US,Classic Logo Hoodie,Hoodie,QWA-H015,1,55.08,0.0,55.08,PayPal,Yes
1083,2024-04-26,C020,James Roberts,tprice@herman-peters.net,Amyburgh,GA,US,Zipper Hoodie,Hoodie,QWA-H011,2,65.68,0.0,131.36,PayPal,No
1084,2024-04-27,C024,Dr. Aaron Glass,jodymassey@mckenzie-orozco.com,Port Susan,IA,US,Oversized Street Tee,Shirt,QWA-S005,1,36.82,9.12,27.7,PayPal,Yes
1085,2024-11-13,C007,Catherine Barrett,rachel44@white-patterson.com,Perkinsburgh,NJ,US,Essential Tee,Shirt,QWA-S008,1,69.61,9.37,60.24,PayPal,No
1086,2024-06-20,C006,Amy Harding,phuffman@gmail.com,New Elizabethhaven,DC,US,Minimalist Sweater,Sweater,QWA-S015,2,36.33,0.0,72.66,PayPal,Yes
1087,2024-08-22,C020,William Sanchez,jenniferharper@hotmail.com,South George,WI,US,Oversized Hoodie,Hoodie,QWA-H001,3,66.27,0.0,198.81,Credit Card,No
1088,2024-12-08,C006,Richard Johnson,evansthomas@hotmail.com,Lake Jennifer,LA,US,Zipper Hoodie,Hoodie,QWA-H005,2,46.99,5.11,88.87,Credit Card,Yes
1089,2024-12-01,C022,Parker Peters,charleshamilton@gmail.com,North Jessica,WV,US,Classic Logo Sweater,Sweater,QWA-S011,2,38.08,0.0,76.16,Credit Card,No
1090,2024-03-22,C004,Cody Garcia,prestonsarah@yahoo.com,Terryhaven,KY,US,Zipper Hoodie,Hoodie,QWA-H001,3,47.82,0.0,143.46,PayPal,No
1091,2024-05-19,C019,Rebecca Jackson,samuel04@yahoo.com,West Laura,MT,US,Classic Logo Hoodie,Hoodie,QWA-H013,3,61.55,0.0,184.65,Shop Pay,No
1092,2024-07-19,C011,Ann Acosta,cookgeorge@jackson-carroll.com,West Tinafurt,SD,US,Classic Logo Hoodie,Hoodie,QWA-H004,2,46.57,0.0,93.14,Shop Pay,No
1093,2024-12-26,C030,Jennifer Johnson,thompsonwalter@whitney.com,Myerschester,AL,US,Knitted Crewneck,Sweater,QWA-S013,2,51.78,0.0,103.56,PayPal,Yes
1094,2024-12-22,C006,Scott Morrow,muellerkelly@garcia.com,Markland,OK,US,Essential Tee,Shirt,QWA-S002,3,44.95,0.0,134.85,Credit Card,Yes
1095,2024-09-16,C009,Debra Taylor,johnsonnatalie@richardson.com,Port Michaelfurt,PA,US,Minimal Logo Tee,Shirt,QWA-S018,2,35.47,0.0,70.94,PayPal,Yes
1096,2024-11-05,C012,Cameron Lynch,bergchristopher@castro.biz,New Michael,WA,US,Minimalist Sweater,Sweater,QWA-S003,1,50.31,11.94,38.37,Credit Card,Yes
1097,2024-04-05,C027,Joan Henry,joneskayla@shaw-cardenas.org,Stephanietown,IA,US,Zipper Hoodie,Hoodie,QWA-H014,2,46.44,0.0,92.88,Shop Pay,Yes
1098,2024-11-05,C006,Charles Oconnell,brownrhonda@miller.com,East Chelsea,IL,US,Zipper Hoodie,Hoodie,QWA-H003,1,33.73,14.21,19.52,Credit Card,Yes
1099,2024-12-21,C024,Alexis Hill,kennethdavis@stafford.info,Sancheztown,IL,US,Minimalist Sweater,Sweater,QWA-S004,1,39.44,0.0,39.44,Credit Card,Yes
